2020-02-25 21:54:22.639029 -  latency: 1.960993 ms
2020-02-25 21:54:22.646682 -  latency: 57.163954 ms
2020-02-25 21:54:22.650511 -  latency: 2.495050 ms
2020-02-25 21:54:22.655431 -  latency: 1.939058 ms
2020-02-25 21:54:22.663051 -  latency: 139.622927 ms
2020-02-25 21:54:22.666627 -  latency: 2.343893 ms
2020-02-25 21:54:22.671540 -  latency: 1.898050 ms
2020-02-25 21:54:22.679785 -  latency: 20.866156 ms
2020-02-25 21:54:22.682875 -  latency: 2.331972 ms
2020-02-25 21:54:22.687912 -  latency: 1.897097 ms
2020-02-25 21:54:22.695483 -  latency: 52.937984 ms
2020-02-25 21:54:22.699249 -  latency: 2.384186 ms
2020-02-25 21:54:22.704283 -  latency: 1.951933 ms
2020-02-25 21:54:22.711645 -  latency: 85.566044 ms
2020-02-25 21:54:22.715605 -  latency: 2.393007 ms
2020-02-25 21:54:22.720678 -  latency: 1.994848 ms
2020-02-25 21:54:22.728180 -  latency: 20.375967 ms
2020-02-25 21:54:22.732009 -  latency: 2.434015 ms
2020-02-25 21:54:22.737007 -  latency: 1.957893 ms
2020-02-25 21:54:22.744814 -  latency: 53.359985 ms
2020-02-25 21:54:22.748369 -  latency: 2.369881 ms
2020-02-25 21:54:22.753346 -  latency: 1.871109 ms
2020-02-25 21:54:22.761238 -  latency: 86.161852 ms
2020-02-25 21:54:22.764722 -  latency: 2.301931 ms
2020-02-25 21:54:22.769561 -  latency: 1.708984 ms
2020-02-25 21:54:22.777217 -  latency: 20.277023 ms
2020-02-25 21:54:22.780982 -  latency: 2.336025 ms
2020-02-25 21:54:22.785864 -  latency: 1.785994 ms
2020-02-25 21:54:22.793482 -  latency: 52.949190 ms
2020-02-25 21:54:22.797133 -  latency: 2.146006 ms
2020-02-25 21:54:22.802282 -  latency: 1.866102 ms
2020-02-25 21:54:22.809843 -  latency: 85.695028 ms
2020-02-25 21:54:22.813615 -  latency: 2.326012 ms
2020-02-25 21:54:22.819499 -  latency: 2.735138 ms
2020-02-25 21:54:22.826019 -  latency: 20.152092 ms
2020-02-25 21:54:22.830329 -  latency: 2.729893 ms
2020-02-25 21:54:22.835053 -  latency: 1.986027 ms
2020-02-25 21:54:22.842796 -  latency: 53.292990 ms
2020-02-25 21:54:22.846395 -  latency: 2.457142 ms
2020-02-25 21:54:22.851352 -  latency: 1.944065 ms
2020-02-25 21:54:22.858846 -  latency: 85.618973 ms
2020-02-25 21:54:22.862591 -  latency: 2.247095 ms
2020-02-25 21:54:22.867801 -  latency: 1.957893 ms
2020-02-25 21:54:22.875479 -  latency: 20.607948 ms
2020-02-25 21:54:22.879202 -  latency: 2.472878 ms
2020-02-25 21:54:22.884142 -  latency: 1.937866 ms
2020-02-25 21:54:22.891814 -  latency: 53.327084 ms
2020-02-25 21:54:22.895478 -  latency: 2.388954 ms
2020-02-25 21:54:22.900638 -  latency: 2.190828 ms
2020-02-25 21:54:22.908344 -  latency: 86.158037 ms
2020-02-25 21:54:22.911728 -  latency: 2.437830 ms
2020-02-25 21:54:22.916691 -  latency: 1.945019 ms
2020-02-25 21:54:22.924811 -  latency: 20.982981 ms
2020-02-25 21:54:22.928139 -  latency: 2.429962 ms
2020-02-25 21:54:22.933111 -  latency: 1.915932 ms
2020-02-25 21:54:22.940776 -  latency: 53.107023 ms
2020-02-25 21:54:22.944423 -  latency: 2.279043 ms
2020-02-25 21:54:22.949390 -  latency: 1.828909 ms
2020-02-25 21:54:22.957067 -  latency: 85.808992 ms
2020-02-25 21:54:22.960832 -  latency: 2.312899 ms
2020-02-25 21:54:22.965680 -  latency: 1.744032 ms
2020-02-25 21:54:22.973640 -  latency: 20.596981 ms
