2020-02-19 11:21:36.245202 -  latency: 3.170967 ms
2020-02-19 11:21:36.250538 -  latency: 3.065825 ms
2020-02-19 11:21:36.255679 -  latency: 2.723932 ms
2020-02-19 11:21:36.260542 -  latency: 2.148867 ms
2020-02-19 11:21:36.266954 -  latency: 3.108025 ms
2020-02-19 11:21:36.271443 -  latency: 2.152920 ms
2020-02-19 11:21:36.276860 -  latency: 2.125025 ms
2020-02-19 11:21:36.283320 -  latency: 3.145933 ms
2020-02-19 11:21:36.287816 -  latency: 2.184153 ms
2020-02-19 11:21:36.293145 -  latency: 2.072096 ms
2020-02-19 11:21:36.299623 -  latency: 3.092051 ms
2020-02-19 11:21:36.304187 -  latency: 2.211094 ms
2020-02-19 11:21:36.309473 -  latency: 2.051115 ms
2020-02-19 11:21:36.316122 -  latency: 3.264189 ms
2020-02-19 11:21:36.320497 -  latency: 2.192020 ms
2020-02-19 11:21:36.325876 -  latency: 2.078056 ms
2020-02-19 11:21:36.332394 -  latency: 3.156900 ms
2020-02-19 11:21:36.337519 -  latency: 2.799988 ms
2020-02-19 11:21:36.342773 -  latency: 2.006054 ms
2020-02-19 11:21:36.349486 -  latency: 3.211021 ms
2020-02-19 11:21:36.353900 -  latency: 2.187967 ms
2020-02-19 11:21:36.359197 -  latency: 2.052784 ms
2020-02-19 11:21:36.365714 -  latency: 3.130198 ms
2020-02-19 11:21:36.370149 -  latency: 2.086878 ms
2020-02-19 11:21:36.375601 -  latency: 2.085209 ms
2020-02-19 11:21:36.382239 -  latency: 3.295183 ms
2020-02-19 11:21:36.386556 -  latency: 2.123833 ms
2020-02-19 11:21:36.391902 -  latency: 2.007008 ms
2020-02-19 11:21:36.398503 -  latency: 3.169060 ms
2020-02-19 11:21:36.402956 -  latency: 2.146006 ms
2020-02-19 11:21:36.408284 -  latency: 2.039909 ms
2020-02-19 11:21:36.415351 -  latency: 3.667116 ms
2020-02-19 11:21:36.419277 -  latency: 2.151966 ms
2020-02-19 11:21:36.424674 -  latency: 2.064943 ms
2020-02-19 11:21:36.431145 -  latency: 3.095865 ms
2020-02-19 11:21:36.435626 -  latency: 2.136946 ms
2020-02-19 11:21:36.441104 -  latency: 2.137899 ms
2020-02-19 11:21:36.447520 -  latency: 3.113985 ms
2020-02-19 11:21:36.452047 -  latency: 2.140999 ms
2020-02-19 11:21:36.457377 -  latency: 1.992941 ms
2020-02-19 11:21:36.463914 -  latency: 3.082991 ms
2020-02-19 11:21:36.468463 -  latency: 2.142906 ms
2020-02-19 11:21:36.473850 -  latency: 2.051115 ms
2020-02-19 11:21:36.480441 -  latency: 3.129959 ms
2020-02-19 11:21:36.484912 -  latency: 2.197027 ms
2020-02-19 11:21:36.490193 -  latency: 2.049923 ms
2020-02-19 11:21:36.497681 -  latency: 4.095793 ms
2020-02-19 11:21:36.501241 -  latency: 2.212048 ms
