2020-02-19 08:38:01.039002 -  latency: 1.930952 ms
2020-02-19 08:38:01.045580 -  latency: 3.038883 ms
2020-02-19 08:38:01.050575 -  latency: 2.104998 ms
2020-02-19 08:38:01.055921 -  latency: 1.963139 ms
2020-02-19 08:38:01.061985 -  latency: 2.558947 ms
2020-02-19 08:38:01.066999 -  latency: 2.100945 ms
2020-02-19 08:38:01.072345 -  latency: 1.976967 ms
2020-02-19 08:38:01.078311 -  latency: 2.526999 ms
2020-02-19 08:38:01.083430 -  latency: 2.171040 ms
2020-02-19 08:38:01.088793 -  latency: 2.058983 ms
2020-02-19 08:38:01.094684 -  latency: 2.470016 ms
2020-02-19 08:38:01.099732 -  latency: 2.085924 ms
2020-02-19 08:38:01.105086 -  latency: 2.037048 ms
2020-02-19 08:38:01.111090 -  latency: 2.562046 ms
2020-02-19 08:38:01.115965 -  latency: 2.028942 ms
2020-02-19 08:38:01.121816 -  latency: 2.416849 ms
2020-02-19 08:38:01.127423 -  latency: 2.564192 ms
2020-02-19 08:38:01.132358 -  latency: 2.032995 ms
2020-02-19 08:38:01.137729 -  latency: 1.983881 ms
2020-02-19 08:38:01.143657 -  latency: 2.449989 ms
2020-02-19 08:38:01.148703 -  latency: 2.081871 ms
2020-02-19 08:38:01.153987 -  latency: 1.888990 ms
2020-02-19 08:38:01.160025 -  latency: 2.498150 ms
2020-02-19 08:38:01.165160 -  latency: 2.169847 ms
2020-02-19 08:38:01.170402 -  latency: 1.924038 ms
2020-02-19 08:38:01.176387 -  latency: 2.501011 ms
2020-02-19 08:38:01.181336 -  latency: 2.038956 ms
2020-02-19 08:38:01.186691 -  latency: 1.921177 ms
2020-02-19 08:38:01.192868 -  latency: 2.630949 ms
2020-02-19 08:38:01.197675 -  latency: 2.025127 ms
2020-02-19 08:38:01.203509 -  latency: 2.388000 ms
2020-02-19 08:38:01.209547 -  latency: 2.515078 ms
2020-02-19 08:38:01.214491 -  latency: 2.040863 ms
2020-02-19 08:38:01.219735 -  latency: 1.802921 ms
2020-02-19 08:38:01.225875 -  latency: 2.522945 ms
2020-02-19 08:38:01.230833 -  latency: 2.027988 ms
2020-02-19 08:38:01.236048 -  latency: 1.837969 ms
2020-02-19 08:38:01.242137 -  latency: 2.507925 ms
2020-02-19 08:38:01.247839 -  latency: 2.800941 ms
2020-02-19 08:38:01.252534 -  latency: 2.063036 ms
2020-02-19 08:38:01.258454 -  latency: 2.514124 ms
2020-02-19 08:38:01.263553 -  latency: 2.189875 ms
2020-02-19 08:38:01.268887 -  latency: 2.058983 ms
2020-02-19 08:38:01.274860 -  latency: 2.560854 ms
2020-02-19 08:38:01.280411 -  latency: 2.619982 ms
2020-02-19 08:38:01.285331 -  latency: 2.072096 ms
2020-02-19 08:38:01.291311 -  latency: 2.569199 ms
2020-02-19 08:38:01.296228 -  latency: 2.075911 ms
2020-02-19 08:38:01.301622 -  latency: 2.038956 ms
2020-02-19 08:38:01.307562 -  latency: 2.560854 ms
2020-02-19 08:38:01.312639 -  latency: 2.166986 ms
2020-02-19 08:38:01.317952 -  latency: 2.007961 ms
2020-02-19 08:38:01.323886 -  latency: 2.529860 ms
2020-02-19 08:38:01.328965 -  latency: 2.146006 ms
2020-02-19 08:38:01.334331 -  latency: 2.035141 ms
2020-02-19 08:38:01.340306 -  latency: 2.571106 ms
2020-02-19 08:38:01.345339 -  latency: 2.140045 ms
2020-02-19 08:38:01.350792 -  latency: 2.128839 ms
2020-02-19 08:38:01.357550 -  latency: 3.414869 ms
2020-02-19 08:38:01.361647 -  latency: 2.032995 ms
2020-02-19 08:38:01.367031 -  latency: 1.938820 ms
2020-02-19 08:38:01.373095 -  latency: 2.542019 ms
2020-02-19 08:38:01.378027 -  latency: 1.998901 ms
2020-02-19 08:38:01.384821 -  latency: 3.314018 ms
2020-02-19 08:38:01.389508 -  latency: 2.536058 ms
2020-02-19 08:38:01.394391 -  latency: 1.990080 ms
2020-02-19 08:38:01.399871 -  latency: 2.022028 ms
2020-02-19 08:38:01.405808 -  latency: 2.486944 ms
2020-02-19 08:38:01.410875 -  latency: 2.053976 ms
2020-02-19 08:38:01.416298 -  latency: 2.038956 ms
2020-02-19 08:38:01.422050 -  latency: 2.417088 ms
